-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  -23.8077   Longitude -47.4424 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 634.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN,T2M_MAX
-23.80769,-47.44239,2020,001,   20.48,   30.81
-23.80769,-47.44239,2020,002,   20.90,   26.77
-23.80769,-47.44239,2020,003,   19.04,   23.36
-23.80769,-47.44239,2020,004,   19.03,   26.51
-23.80769,-47.44239,2020,005,   17.91,   27.98
-23.80769,-47.44239,2020,006,   19.53,   30.09
-23.80769,-47.44239,2020,007,   19.81,   32.31
-23.80769,-47.44239,2020,008,   21.86,   28.64
-23.80769,-47.44239,2020,009,   21.80,   28.18
-23.80769,-47.44239,2020,010,   21.50,   29.73
-23.80769,-47.44239,2020,011,   22.35,   28.83
-23.80769,-47.44239,2020,012,   20.73,   26.86
-23.80769,-47.44239,2020,013,   19.16,   26.06
-23.80769,-47.44239,2020,014,   17.78,   27.51
-23.80769,-47.44239,2020,015,   19.10,   30.54
-23.80769,-47.44239,2020,016,   21.04,   31.65
-23.80769,-47.44239,2020,017,   17.35,   23.74
-23.80769,-47.44239,2020,018,   16.83,   25.39
-23.80769,-47.44239,2020,019,   18.02,   26.83
-23.80769,-47.44239,2020,020,   18.49,   27.94
-23.80769,-47.44239,2020,021,   17.28,   27.73
-23.80769,-47.44239,2020,022,   17.83,   25.39
-23.80769,-47.44239,2020,023,   18.21,   23.53
-23.80769,-47.44239,2020,024,   17.96,   26.28
-23.80769,-47.44239,2020,025,   16.72,   26.89
-23.80769,-47.44239,2020,026,   14.71,   29.29
-23.80769,-47.44239,2020,027,   14.45,   32.41
-23.80769,-47.44239,2020,028,   18.14,   32.62
-23.80769,-47.44239,2020,029,   19.71,   32.58
-23.80769,-47.44239,2020,030,   21.77,   30.65
-23.80769,-47.44239,2020,031,   21.89,   29.10
-23.80769,-47.44239,2020,032,   21.37,   28.56
-23.80769,-47.44239,2020,033,   20.09,   25.79
-23.80769,-47.44239,2020,034,   19.68,   25.29
-23.80769,-47.44239,2020,035,   19.54,   25.70
-23.80769,-47.44239,2020,036,   19.40,   27.34
-23.80769,-47.44239,2020,037,   20.24,   27.96
-23.80769,-47.44239,2020,038,   19.93,   26.83
-23.80769,-47.44239,2020,039,   20.39,   28.76
-23.80769,-47.44239,2020,040,   20.32,   28.81
-23.80769,-47.44239,2020,041,   17.75,   22.62
-23.80769,-47.44239,2020,042,   17.17,   23.97
-23.80769,-47.44239,2020,043,   16.85,   23.25
-23.80769,-47.44239,2020,044,   17.28,   25.54
-23.80769,-47.44239,2020,045,   17.44,   27.60
-23.80769,-47.44239,2020,046,   17.78,   29.26
-23.80769,-47.44239,2020,047,   18.98,   30.19
-23.80769,-47.44239,2020,048,   19.86,   29.08
-23.80769,-47.44239,2020,049,   20.33,   30.07
-23.80769,-47.44239,2020,050,   20.91,   30.19
-23.80769,-47.44239,2020,051,   22.05,   27.79
-23.80769,-47.44239,2020,052,   19.88,   27.16
-23.80769,-47.44239,2020,053,   16.15,   23.08
-23.80769,-47.44239,2020,054,   15.11,   24.34
-23.80769,-47.44239,2020,055,   16.37,   27.12
-23.80769,-47.44239,2020,056,   19.46,   28.76
-23.80769,-47.44239,2020,057,   19.61,   28.20
-23.80769,-47.44239,2020,058,   16.28,   22.92
-23.80769,-47.44239,2020,059,   15.49,   23.31
-23.80769,-47.44239,2020,060,   17.52,   24.30
-23.80769,-47.44239,2020,061,   17.49,   23.02
-23.80769,-47.44239,2020,062,   17.87,   22.98
-23.80769,-47.44239,2020,063,   17.63,   25.57
-23.80769,-47.44239,2020,064,   17.15,   25.69
-23.80769,-47.44239,2020,065,   16.01,   24.68
-23.80769,-47.44239,2020,066,   14.92,   24.44
-23.80769,-47.44239,2020,067,   15.18,   25.50
-23.80769,-47.44239,2020,068,   15.35,   25.44
-23.80769,-47.44239,2020,069,   16.91,   26.44
-23.80769,-47.44239,2020,070,   16.95,   27.47
-23.80769,-47.44239,2020,071,   17.19,   27.51
-23.80769,-47.44239,2020,072,   17.40,   27.49
-23.80769,-47.44239,2020,073,   17.10,   28.23
-23.80769,-47.44239,2020,074,   19.08,   28.51
-23.80769,-47.44239,2020,075,   19.00,   29.48
-23.80769,-47.44239,2020,076,   20.11,   28.99
-23.80769,-47.44239,2020,077,   19.88,   27.89
-23.80769,-47.44239,2020,078,   18.74,   28.90
-23.80769,-47.44239,2020,079,   20.60,   28.49
-23.80769,-47.44239,2020,080,   20.79,   26.81
-23.80769,-47.44239,2020,081,   17.49,   24.43
-23.80769,-47.44239,2020,082,   16.15,   24.35
-23.80769,-47.44239,2020,083,   15.53,   24.15
-23.80769,-47.44239,2020,084,   15.42,   24.30
-23.80769,-47.44239,2020,085,   14.71,   24.76
-23.80769,-47.44239,2020,086,   14.24,   25.15
-23.80769,-47.44239,2020,087,   16.29,   25.36
-23.80769,-47.44239,2020,088,   17.24,   26.53
-23.80769,-47.44239,2020,089,   17.91,   27.01
-23.80769,-47.44239,2020,090,   18.42,   26.58
-23.80769,-47.44239,2020,091,   17.61,   27.22
-23.80769,-47.44239,2020,092,   17.85,   26.11
-23.80769,-47.44239,2020,093,   18.19,   28.65
-23.80769,-47.44239,2020,094,   14.00,   27.39
-23.80769,-47.44239,2020,095,   13.48,   24.45
-23.80769,-47.44239,2020,096,   15.12,   25.67
-23.80769,-47.44239,2020,097,   15.09,   28.03
-23.80769,-47.44239,2020,098,   17.52,   22.52
-23.80769,-47.44239,2020,099,   14.75,   21.72
-23.80769,-47.44239,2020,100,   13.18,   22.52
-23.80769,-47.44239,2020,101,   13.07,   23.07
-23.80769,-47.44239,2020,102,   14.63,   22.70
-23.80769,-47.44239,2020,103,   13.60,   23.23
-23.80769,-47.44239,2020,104,   13.60,   24.76
-23.80769,-47.44239,2020,105,   14.25,   23.75
-23.80769,-47.44239,2020,106,   15.88,   23.48
-23.80769,-47.44239,2020,107,   13.43,   25.18
-23.80769,-47.44239,2020,108,   13.03,   22.74
-23.80769,-47.44239,2020,109,   14.79,   22.88
-23.80769,-47.44239,2020,110,   15.57,   23.91
-23.80769,-47.44239,2020,111,   15.27,   24.26
-23.80769,-47.44239,2020,112,   14.47,   24.66
-23.80769,-47.44239,2020,113,   14.38,   24.56
-23.80769,-47.44239,2020,114,   14.20,   24.22
-23.80769,-47.44239,2020,115,   15.49,   26.13
-23.80769,-47.44239,2020,116,   15.35,   27.43
-23.80769,-47.44239,2020,117,   15.05,   26.59
-23.80769,-47.44239,2020,118,   15.60,   24.37
-23.80769,-47.44239,2020,119,   15.07,   25.05
-23.80769,-47.44239,2020,120,   13.88,   26.21
-23.80769,-47.44239,2020,121,   15.14,   26.95
-23.80769,-47.44239,2020,122,   15.92,   26.54
-23.80769,-47.44239,2020,123,   15.18,   25.46
-23.80769,-47.44239,2020,124,   13.50,   21.61
